participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669ea7560f8c8,level_C,0,11,3,5
669ea7560f8c8,level_C,1,11,18,19
669ea76cdc956,level_A,0,4,0,5
669ea76cdc956,level_A,1,4,19,19
669ea78ed3dd8,level_B,0,0,4,5
669ea78ed3dd8,level_B,1,0,16,19
669ea799048de,level_B,0,9,2,6
669ea799048de,level_B,1,9,17,18
669ea7a72e795,level_A,0,15,4,6
669ea7a72e795,level_A,1,15,15,18
669ea7ae6c13a,level_A,0,11,1,4
669ea7ae6c13a,level_A,1,11,20,20
669ea7c2dfd7e,level_B,0,12,5,11
669ea7c2dfd7e,level_B,1,12,8,13
669ea7c718796,level_C,0,18,2,4
669ea7c718796,level_C,1,18,19,20
669ea7db9622d,level_B,0,6,0,4
669ea7db9622d,level_B,1,6,19,20
669ea7e282b03,level_A,0,9,4,9
669ea7e282b03,level_A,1,9,15,15
669ea7e3477ba,level_A,0,10,6,6
669ea7e3477ba,level_A,1,10,16,18
669ea7e45c648,level_A,0,16,1,3
669ea7e45c648,level_A,1,16,20,21
669ea7e6a4137,level_C,0,3,2,2
669ea7e6a4137,level_C,1,3,21,22
669ea7ec080e9,level_A,0,7,2,5
669ea7ec080e9,level_A,1,7,18,19
669ea7fa3c046,level_A,0,14,2,3
669ea7fa3c046,level_A,1,14,19,21
669ea802afe94,level_B,0,9,0,7
669ea802afe94,level_B,1,9,17,17
669ea807de53f,level_B,0,4,0,3
669ea807de53f,level_B,1,4,19,21
669ea8081c7b8,level_C,0,10,0,2
669ea8081c7b8,level_C,1,10,21,22
669ea809f0b72,level_A,0,12,3,5
669ea809f0b72,level_A,1,12,18,19
669ea81b6caad,level_A,0,2,3,5
669ea81b6caad,level_A,1,2,19,19
669ea81be5ffc,level_C,0,19,1,5
669ea81be5ffc,level_C,1,19,19,19
669ea829f23c6,level_B,0,17,0,6
669ea829f23c6,level_B,1,17,18,18
669ea82bf0444,level_B,0,2,3,8
669ea82bf0444,level_B,1,2,16,16
669ea82e664a1,level_B,0,19,2,8
